"CBLS County-level Summary Data for MN, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
999,Unknown Address,379,.,0,0%,0,,,
001,Aitkin County,151,5,0,0%,1,14168,3250,17.0000001788139%
003,Anoka County,6110,55,8,0.100000004749745%,1,108091,6726,5.00000007450581%
005,Becker County,566,5,1,0.20000000949949%,0,16612,4095,18.0000007152557%
007,Beltrami County,667,8,0,0%,0,16989,3278,28.0000001192093%
009,Benton County,952,5,0,0%,0,13460,2773,9.00000035762787%
011,Big Stone Count,82,5,0,0%,0,3171,1516,12.9999995231628%
013,Blue Earth Coun,888,23,3,0.300000002607703%,0,21971,7376,14.0000000596046%
015,Brown County,412,5,2,0.499999988824129%,0,11163,4872,10.9999999403954%
017,Carlton County,598,2,0,0%,0,13721,4420,9.00000035762787%
019,Carver County,1053,12,2,0.20000000949949%,0,24883,3839,5.00000007450581%
021,Cass County,465,3,2,0.400000018998981%,0,21286,3691,20.0000002980232%
023,Chippewa County,252,1,2,0.800000037997961%,0,5855,2669,15.0000005960464%
025,Chisago County,614,8,0,0%,0,15533,2893,7.99999982118607%
027,Clay County,1002,9,0,0%,0,19746,4147,15.9999996423721%
029,Clearwater Coun,75,.,0,0%,0,4114,1258,23.0000004172325%
031,Cook County,39,2,0,0%,0,4708,849,23.0000004172325%
033,Cottonwood Coun,101,1,2,1.99999995529652%,1,5376,2559,23.9999994635582%
035,Crow Wing Count,926,13,0,0%,0,33483,6786,15.0000005960464%
037,Dakota County,6833,60,5,0.100000004749745%,0,133750,9271,3.99999991059303%
039,Dodge County,220,8,0,0%,0,6642,2356,7.00000002980232%
041,Douglas County,481,7,1,0.20000000949949%,0,16694,4289,10.9999999403954%
043,Faribault Count,184,9,3,1.60000007599592%,0,7247,4088,14.0000000596046%
045,Fillmore County,177,5,0,0%,0,8908,4796,18.0000007152557%
047,Freeborn County,454,16,6,1.30000002682209%,1,13996,6114,11.9999997317791%
049,Goodhue County,533,16,4,0.800000037997961%,1,17879,6549,5.99999986588955%
051,Grant County,100,3,0,0%,0,3098,1490,12.9999995231628%
053,Hennepin County,21040,359,65,0.300000002607703%,22,468824,134969,10.9999999403954%
055,Houston County,215,10,0,0%,0,8168,2995,7.00000002980232%
057,Hubbard County,210,3,0,0%,0,12229,2663,14.0000000596046%
059,Isanti County,588,5,0,0%,0,12062,2567,5.99999986588955%
061,Itasca County,768,7,1,0.100000004749745%,0,24528,5726,18.0000007152557%
063,Jackson County,120,4,0,0%,0,5092,2582,12.9999995231628%
065,Kanabec County,219,2,1,0.499999988824129%,0,6846,1735,11.9999997317791%
067,Kandiyohi Count,793,16,6,0.800000037997961%,0,18415,4978,14.0000000596046%
069,Kittson County,24,2,0,0%,0,2719,1170,11.9999997317791%
071,Koochiching Cou,169,1,0,0%,1,7719,2265,18.9999997615814%
073,Lac qui Parle C,90,4,1,1.09999999403954%,1,3774,2194,10.9999999403954%
075,Lake County,158,2,0,0%,0,6840,1918,18.0000007152557%
077,Lake of the Woo,29,.,0,0%,0,3238,654,10.0000001490116%
079,Le Sueur County,329,5,0,0%,0,10858,4002,7.00000002980232%
081,Lincoln County,77,2,4,5.20000010728836%,1,3043,1531,10.0000001490116%
083,Lyon County,638,6,2,0.300000002607703%,1,10298,3695,12.9999995231628%
085,McLeod County,509,9,0,0%,0,14087,4121,5.00000007450581%
087,Mahnomen County,103,.,0,0%,0,2700,1045,23.0000004172325%
089,Marshall County,75,.,0,0%,0,4791,1915,12.9999995231628%
091,Martin County,286,8,0,0%,0,9800,4522,15.9999996423721%
093,Meeker County,336,3,0,0%,0,9821,3597,7.99999982118607%
095,Mille Lacs Coun,413,9,0,0%,1,10467,2941,12.9999995231628%
097,Morrison County,615,7,0,0%,0,13870,4347,17.0000001788139%
099,Mower County,510,18,5,0.999999977648258%,2,16251,7469,11.9999997317791%
101,Murray County,115,2,1,0.899999961256981%,0,4357,2125,10.9999999403954%
103,Nicollet County,472,2,0,0%,0,11240,3314,10.9999999403954%
105,Nobles County,535,9,1,0.20000000949949%,1,8465,3586,17.0000001788139%
107,Norman County,74,2,0,0%,0,3455,1651,17.0000001788139%
109,Olmsted County,1195,17,5,0.400000018998981%,0,49422,8883,7.00000002980232%
111,Otter Tail Coun,566,17,0,0%,1,33862,10372,15.9999996423721%
113,Pennington Coun,125,1,0,0%,0,6033,2102,10.9999999403954%
115,Pine County,345,2,1,0.300000002607703%,0,15353,3736,20.9999993443489%
117,Pipestone Count,159,4,1,0.600000005215406%,1,4434,2140,17.0000001788139%
119,Polk County,427,10,0,0%,0,14008,5117,15.9999996423721%
121,Pope County,152,1,1,0.700000021606684%,1,5827,2369,10.0000001490116%
123,Ramsey County,11710,348,47,0.400000018998981%,17,206448,72654,15.9999996423721%
125,Red Lake County,38,.,0,0%,0,1883,809,15.9999996423721%
127,Redwood County,270,4,3,1.09999999403954%,0,7230,3367,10.0000001490116%
129,Renville County,291,8,3,0.999999977648258%,0,7413,3576,12.9999995231628%
131,Rice County,1216,34,3,0.20000000949949%,0,20061,6245,7.00000002980232%
133,Rock County,130,6,0,0%,0,4137,1958,9.00000035762787%
135,Roseau County,126,5,0,0%,0,7101,1619,7.00000002980232%
137,St. Louis Count,3055,56,10,0.300000002607703%,0,95800,42088,17.0000001788139%
139,Scott County,2233,7,0,0%,0,31609,3236,1.99999995529652%
141,Sherburne Count,1551,10,1,0.100000004749745%,0,22827,2046,2.99999993294477%
143,Sibley County,227,10,1,0.400000018998981%,0,6024,2896,12.9999995231628%
145,Stearns County,2975,25,1,0%,0,50291,11510,7.99999982118607%
147,Steele County,634,10,1,0.20000000949949%,0,13306,4402,9.00000035762787%
149,Stevens County,144,.,3,2.09999997168779%,0,4074,1578,10.9999999403954%
151,Swift County,146,2,1,0.700000021606684%,0,4821,2387,10.0000001490116%
153,Todd County,388,3,0,0%,0,11900,4399,18.0000007152557%
155,Traverse County,34,2,1,2.8999999165535%,0,2199,1104,15.0000005960464%
157,Wabasha County,238,3,2,0.800000037997961%,0,9066,3327,7.99999982118607%
159,Wadena County,301,9,0,0%,0,6334,2137,20.0000002980232%
161,Waseca County,312,5,1,0.300000002607703%,0,7427,2926,7.99999982118607%
163,Washington Coun,3143,38,0,0%,0,73635,8254,2.99999993294477%
165,Watonwan County,192,10,1,0.499999988824129%,0,5036,2523,18.0000007152557%
167,Wilkin County,71,.,0,0%,0,3105,1343,10.9999999403954%
169,Winona County,449,6,4,0.899999961256981%,2,19551,8332,12.9999995231628%
171,Wright County,2006,16,1,0%,0,34355,6118,5.99999986588955%
173,Yellow Medicine,174,5,0,0%,0,4873,2542,10.9999999403954%
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
