"CBLS County-level Summary Data for WI, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Adams County,184,11,0,0%,0,14123,1674,15.0000005960464%
003,Ashland County,359,23,2,0.600000005215406%,1,8883,3781,17.0000001788139%
005,Barron County,484,10,0,0%,1,20969,7238,14.0000000596046%
007,Bayfield County,202,16,0,0%,0,11640,3651,20.9999993443489%
009,Brown County,4843,122,9,0.20000000949949%,4,90199,17826,9.00000035762787%
011,Buffalo County,187,13,0,0%,2,6098,2777,10.0000001490116%
013,Burnett County,230,10,0,0%,1,12582,2425,12.9999995231628%
015,Calumet County,223,8,2,0.899999961256981%,0,15758,4060,5.00000007450581%
017,Chippewa County,792,9,2,0.300000002607703%,1,22821,8066,11.9999997317791%
019,Clark County,423,11,3,0.700000021606684%,0,13531,6316,20.0000002980232%
021,Columbia County,717,25,6,0.800000037997961%,0,22685,8510,5.99999986588955%
023,Crawford County,178,9,0,0%,0,8480,2840,12.9999995231628%
025,Dane County,4619,90,6,0.100000004749745%,4,180398,37341,7.99999982118607%
027,Dodge County,1008,47,4,0.400000018998981%,0,33672,13814,7.99999982118607%
029,Door County,432,14,1,0.20000000949949%,0,19587,6021,11.9999997317791%
031,Douglas County,826,30,1,0.100000004749745%,1,20356,8985,18.0000007152557%
033,Dunn County,427,9,1,0.20000000949949%,0,15277,5038,14.0000000596046%
035,Eau Claire Coun,1517,26,3,0.20000000949949%,1,37474,10758,11.9999997317791%
037,Florence County,26,1,0,0%,0,4239,1093,12.9999995231628%
039,Fond du Lac Cou,1214,60,7,0.600000005215406%,0,39271,14645,7.00000002980232%
041,Forest County,124,2,0,0%,0,8322,2306,18.9999997615814%
043,Grant County,596,53,4,0.700000021606684%,2,19940,8150,14.0000000596046%
045,Green County,458,21,3,0.700000021606684%,0,13878,5826,5.00000007450581%
047,Green Lake Coun,225,17,0,0%,0,9831,3886,11.9999997317791%
049,Iowa County,192,12,0,0%,2,9579,4240,5.99999986588955%
051,Iron County,91,1,0,0%,0,5706,2209,18.0000007152557%
053,Jackson County,260,7,1,0.400000018998981%,0,8029,3005,12.9999995231628%
055,Jefferson Count,1289,85,11,0.899999961256981%,0,30092,11137,7.00000002980232%
057,Juneau County,441,20,2,0.499999988824129%,2,12370,3582,15.9999996423721%
059,Kenosha County,3010,159,29,0.999999977648258%,6,59989,17987,10.0000001490116%
061,Kewaunee County,232,7,0,0%,0,8221,3416,5.99999986588955%
063,La Crosse Count,1450,43,5,0.300000002607703%,6,43479,12686,10.9999999403954%
065,Lafayette Count,133,9,1,0.800000037997961%,0,6674,3509,11.9999997317791%
067,Langlade County,246,7,0,0%,0,11187,4223,15.0000005960464%
069,Lincoln County,425,13,2,0.499999988824129%,0,14681,5207,9.00000035762787%
071,Manitowoc Count,1062,53,13,1.20000001043081%,4,34651,14648,7.99999982118607%
073,Marathon County,1656,40,10,0.600000005215406%,2,50360,15620,9.00000035762787%
075,Marinette Count,548,16,1,0.20000000949949%,0,26260,7693,11.9999997317791%
077,Marquette Count,186,11,0,0%,2,8664,2361,7.99999982118607%
078,Menominee Count,184,3,1,0.499999988824129%,0,2098,172,37.0000004768372%
079,Milwaukee Count,36292,3503,613,1.7000000923872%,231,400093,163688,25.9999990463257%
081,Monroe County,854,41,3,0.400000018998981%,1,16672,5673,20.9999993443489%
083,Oconto County,394,6,1,0.300000002607703%,0,19812,5701,10.0000001490116%
085,Oneida County,391,6,0,0%,0,26627,5953,10.9999999403954%
087,Outagamie Count,1770,58,6,0.300000002607703%,1,62614,16579,5.99999986588955%
089,Ozaukee County,883,11,0,0%,0,32034,5891,1.99999995529652%
091,Pepin County,103,1,0,0%,0,3036,1340,17.0000001788139%
093,Pierce County,485,7,1,0.20000000949949%,1,13493,4269,5.99999986588955%
095,Polk County,462,12,0,0%,0,21129,5726,9.00000035762787%
097,Portage County,1061,18,3,0.300000002607703%,1,26589,6705,10.0000001490116%
099,Price County,168,7,1,0.600000005215406%,0,9574,3399,15.9999996423721%
101,Racine County,3681,277,33,0.899999961256981%,15,74718,24355,12.9999995231628%
103,Richland County,197,14,1,0.499999988824129%,0,8164,3724,18.9999997615814%
105,Rock County,2347,164,24,0.999999977648258%,8,62187,20779,10.9999999403954%
107,Rusk County,186,10,0,0%,0,7609,2805,15.0000005960464%
109,St. Croix Count,768,9,0,0%,0,24265,5534,3.99999991059303%
111,Sauk County,866,32,3,0.300000002607703%,0,24297,8084,10.9999999403954%
113,Sawyer County,228,1,0,0%,0,13722,2881,15.9999996423721%
115,Shawano County,538,13,1,0.20000000949949%,0,18317,6835,12.9999995231628%
117,Sheboygan Count,1423,97,27,1.89999993890524%,3,45947,19006,7.99999982118607%
119,Taylor County,198,13,0,0%,0,8595,3214,15.0000005960464%
121,Trempealeau Cou,406,16,2,0.499999988824129%,4,11482,4609,10.9999999403954%
123,Vernon County,471,25,0,0%,1,12416,5273,25%
125,Vilas County,344,6,2,0.600000005215406%,0,22397,4390,14.0000000596046%
127,Walworth County,1217,38,2,0.20000000949949%,1,43783,13306,10.0000001490116%
129,Washburn County,265,7,1,0.400000018998981%,0,10814,2942,15.9999996423721%
131,Washington Coun,1011,18,9,0.899999961256981%,2,45808,8944,5.00000007450581%
133,Waukesha County,4741,122,13,0.300000002607703%,5,140309,20094,2.99999993294477%
135,Waupaca County,531,25,2,0.400000018998981%,0,22508,8555,10.0000001490116%
137,Waushara County,296,13,0,0%,0,13667,3840,12.9999995231628%
139,Winnebago Count,1777,78,13,0.700000021606684%,4,64721,20011,9.00000035762787%
141,Wood County,1259,21,4,0.300000002607703%,0,31691,9251,10.0000001490116%
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 2,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 2,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
